"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"172","2012","9","Punjab","Ferozpur","5.62","8.24","14.13","18.17","23.59","28.56","28.11","26.29","23.65","18.03","11.15","7.22"
"172","2013","9","Punjab","Ferozpur","4.57","6.31","12.65","18.68","24.48","27.68","27.78","26.49","24.99","19.75","10.89","7.12"
"172","2014","9","Punjab","Ferozpur","6.26","8.37","12.86","17.45","22.69","28.51","28.47","26.88","23.22","18.47","10.9","6.11"
"172","2015","9","Punjab","Ferozpur","6.26","8.37","12.86","17.45","22.69","28.51","28.47","26.88","23.22","18.47","12.05","7.5"
"174","2000","9","Punjab","Bhatinda","5.22","7.01","12.4","20.11","25.95","26.86","26.46","26.12","23.2","17.81","11.06","6.15"
"174","2001","9","Punjab","Bhatinda","4.85","9.09","13.72","18.64","24.84","26.44","26.54","26.22","23.59","18.7","10.83","8.47"
"174","2002","9","Punjab","Bhatinda","5.2","7.95","13.15","20.41","24.48","27.3","26.88","27.59","23.75","18.66","11.51","7.93"
"174","2003","9","Punjab","Bhatinda","3.64","8.13","12.51","18.89","23.18","27.94","26.32","25.91","22.86","16.7","9.29","6.08"
"174","2004","9","Punjab","Bhatinda","5.67","7.7","14.59","20.2","23.09","26.51","27.51","25.33","22.78","16.3","9.96","6.35"
"174","2005","9","Punjab","Bhatinda","4.42","8.03","13.04","17.92","22.86","28.14","26.48","25.68","24.2","17.68","10.33","5.26"
"174","2006","9","Punjab","Bhatinda","6.97","11.31","12.84","20.26","25.4","26.64","26.9","26.97","22.92","18.79","12.06","6.72"
"174","2007","9","Punjab","Bhatinda","4.52","8.84","11.74","20.48","24.15","26.76","27.19","26.62","24.21","17.08","9.96","6.45"
"174","2008","9","Punjab","Bhatinda","6.46","6.17","14.95","17.64","23.98","27.07","27.47","25.51","23.81","18.32","10.41","7.13"
"174","2009","9","Punjab","Bhatinda","6.75","10.02","13.94","18.34","25.16","27.36","27.69","26.55","23.79","18.2","10.43","7.26"
"174","2010","9","Punjab","Bhatinda","4.3","8.95","15.93","21.84","25.1","27.55","27.06","26.67","23.64","18.75","10.55","5.6"
"174","2011","9","Punjab","Bhatinda","3.87","9.39","13.99","18.02","25.43","28.12","27.1","26.21","23.46","18.11","11.5","6.73"
"174","2012","9","Punjab","Bhatinda","5.45","8.27","13.8","18.35","24.12","28.89","28.12","26.02","23.55","17.86","10.77","7.06"
"174","2013","9","Punjab","Bhatinda","4.36","6.21","12.58","18.97","24.84","27.81","27.7","26.27","24.76","19.3","10.55","6.93"
"174","2014","9","Punjab","Bhatinda","6.07","8.26","12.62","17.73","23.08","28.74","28.43","26.74","23.02","18.28","10.73","5.89"
"174","2015","9","Punjab","Bhatinda","6.07","8.26","12.62","17.73","23.08","28.74","28.43","26.74","23.02","18.28","11.78","7.26"
"175","2000","9","Punjab","Sangrur","5.7","7.28","12.55","20.18","25.89","26.28","26.0","25.59","22.7","17.54","11.53","6.36"
"175","2001","9","Punjab","Sangrur","5.4","9.57","13.97","18.82","24.84","26.09","26.27","25.85","23.04","18.39","11.04","8.51"
"175","2002","9","Punjab","Sangrur","5.46","8.46","13.28","20.48","24.45","26.77","26.35","26.93","22.97","18.32","11.69","8.07"
"175","2003","9","Punjab","Sangrur","4.06","8.65","12.8","19.05","23.2","27.45","25.9","25.57","22.38","16.52","9.66","6.18"
"175","2004","9","Punjab","Sangrur","6.16","8.1","14.86","20.39","23.31","25.99","26.96","24.91","22.11","16.14","10.11","6.54"
"175","2005","9","Punjab","Sangrur","4.78","8.74","13.4","18.17","22.87","27.56","26.02","25.31","23.73","17.39","10.61","5.4"
"175","2006","9","Punjab","Sangrur","7.66","11.87","13.23","20.35","25.47","26.21","26.35","26.64","22.45","18.59","12.49","6.99"
"175","2007","9","Punjab","Sangrur","5.11","9.38","12.17","20.71","24.3","26.45","26.78","26.2","23.63","16.9","10.1","6.63"
"175","2008","9","Punjab","Sangrur","7.14","6.76","15.01","17.78","24.07","26.7","27.0","25.12","23.04","17.9","10.66","7.29"
"175","2009","9","Punjab","Sangrur","7.18","10.49","14.29","18.72","25.09","26.84","27.17","26.02","22.91","17.86","10.81","7.33"
"175","2010","9","Punjab","Sangrur","4.41","9.38","16.08","21.99","25.11","26.94","26.66","26.33","23.18","18.41","10.93","5.84"
"175","2011","9","Punjab","Sangrur","4.21","9.92","14.39","18.3","25.45","27.39","26.62","25.76","23.11","17.96","11.77","7.07"
"175","2012","9","Punjab","Sangrur","5.71","9.09","14.2","18.65","24.3","28.49","27.56","25.56","23.17","17.6","11.03","7.29"
"175","2013","9","Punjab","Sangrur","4.46","6.34","13.22","19.12","24.89","27.23","27.12","25.86","24.07","19.03","10.88","7.17"
"175","2014","9","Punjab","Sangrur","6.32","8.6","12.85","18.0","23.0","28.04","27.9","26.23","22.49","18.02","11.11","6.26"
"175","2015","9","Punjab","Sangrur","6.32","8.6","12.85","18.0","23.0","28.04","27.9","26.23","22.49","18.02","12.24","7.39"
"176","2000","9","Punjab","Patiala","6.28","7.39","12.76","20.43","26.14","26.22","25.98","25.51","22.8","17.59","11.78","6.77"
"176","2001","9","Punjab","Patiala","5.91","9.81","14.18","19.15","25.15","26.08","26.25","25.8","23.08","18.5","11.09","8.84"
"176","2002","9","Punjab","Patiala","5.9","8.69","13.43","20.74","24.67","26.66","26.24","26.77","22.93","18.37","11.77","8.42"
"176","2003","9","Punjab","Patiala","4.61","8.81","13.03","19.39","23.42","27.36","25.82","25.53","22.46","16.61","9.81","6.49"
"176","2004","9","Punjab","Patiala","6.67","8.28","15.09","20.73","23.64","25.87","26.8","24.84","22.12","16.29","10.16","6.95"
"176","2005","9","Punjab","Patiala","5.19","8.96","13.69","18.51","23.12","27.39","25.9","25.24","23.77","17.5","10.68","5.73"
"176","2006","9","Punjab","Patiala","8.22","12.15","13.49","20.63","25.72","26.11","26.2","26.54","22.53","18.7","12.62","7.36"
"176","2007","9","Punjab","Patiala","5.6","9.6","12.45","21.04","24.64","26.41","26.69","26.1","23.68","17.04","10.11","7.0"
"176","2008","9","Punjab","Patiala","7.7","6.99","15.22","18.09","24.39","26.62","26.85","25.05","23.04","17.92","10.81","7.63"
"176","2009","9","Punjab","Patiala","7.65","10.66","14.56","19.12","25.27","26.72","27.04","25.94","22.78","17.92","10.92","7.66"
"176","2010","9","Punjab","Patiala","4.83","9.5","16.27","22.27","25.36","26.84","26.54","26.25","23.28","18.48","11.08","6.21"
"176","2011","9","Punjab","Patiala","4.69","10.1","14.62","18.63","25.73","27.25","26.5","25.72","23.23","18.06","11.8","7.46"
"176","2012","9","Punjab","Patiala","6.08","9.42","14.49","19.02","24.58","28.4","27.41","25.49","23.3","17.69","11.08","7.69"
"176","2013","9","Punjab","Patiala","4.77","6.38","13.53","19.47","25.17","27.11","27.0","25.79","24.04","19.11","10.97","7.53"
"176","2014","9","Punjab","Patiala","6.77","8.8","13.1","18.32","23.16","27.91","27.72","26.17","22.58","18.11","11.22","6.72"
"176","2015","9","Punjab","Patiala","6.77","8.8","13.1","18.32","23.16","27.91","27.72","26.17","22.58","18.11","12.39","7.77"
